Date,BY11,BY12,BY13,BY14,LY21,LY22,LY23,LY24
1961-01-01,1531.08564247,1.00000000131,,,,,,,2.739953613,2.81261236523e-10,-0.232763672,1.24998678075e-10,-3.117285156,2.4999735615e-10,,
1961-01-11,,,,,,,,,,,,,,,,
1961-01-21,,,,,,,,,,,,,,,,
1961-02-01,,,,,,,,,,,,,,,,
1961-02-11,,,,,,,,,,,,,,,,
1961-02-21,,,,,,,,,,,,,,,,
1961-03-01,,,,,,,,,,,,,,,,
1961-03-11,,,,,,,,,,,,,,,,
1961-03-21,,,,,,,,,,,,,,,,
1961-04-01,,,,,,,,,,,,,,,,
1961-04-11,,,,,,,,,,,,,,,,
1961-04-21,,,,,,,,,,,,,,,,
1961-05-01,,,,,,,,,,,,,,,,
1961-05-11,,,,,,,,,,,,,,,,
1961-05-21,,,,,,,,,,,,,,,,
1961-06-01,,,,,,,,,,,,,,,,
1961-06-11,,,,,,,,,,,,,,,,
1961-06-21,,,,,,,,,,,,,,,,
1961-07-01,,,,,,,,,,,,,,,,
1961-07-11,,,,,,,,,,,,,,,,
1961-07-21,,,,,,,,,,,,,,,,
1961-08-01,,,,,,,,,,,,,,,,
1961-08-11,,,,,,,,,,,,,,,,
1961-08-21,,,,,,,,,,,,,,,,
1961-09-01,,,,,,,,,,,,,,,,
1961-09-11,,,,,,,,,,,,,,,,
1961-09-21,,,,,,,,,,,,,,,,
1961-10-01,,,,,,,,,,,,,,,,
1961-10-11,,,,,,,,,,,,,,,,
1961-10-21,,,,,,,,,,,,,,,,
1961-11-01,,,,,,,,,,,,,,,,
1961-11-11,,,,,,,,,,,,,,,,
1961-11-21,,,,,,,,,,,,,,,,
1961-12-01,,,,,,,,,,,,,,,,
1961-12-11,,,,,,,,,,,,,,,,
1961-12-21,,,,,,,,,,,,,,,,
1962-01-01,1436.62859157,1.00000000122,,,,,,,2.448480225,3.90627974411e-10,-0.630651855,4.68730831926e-10,-3.574102783,2.0310153559e-10,,
1962-01-11,,,,,,,,,,,,,,,,
1962-01-21,,,,,,,,,,,,,,,,
1962-02-01,,,,,,,,,,,,,,,,
1962-02-11,,,,,,,,,,,,,,,,
1962-02-21,,,,,,,,,,,,,,,,
1962-03-01,,,,,,,,,,,,,,,,
1962-03-11,,,,,,,,,,,,,,,,
1962-03-21,,,,,,,,,,,,,,,,
1962-04-01,,,,,,,,,,,,,,,,
1962-04-11,,,,,,,,,,,,,,,,
1962-04-21,,,,,,,,,,,,,,,,
1962-05-01,,,,,,,,,,,,,,,,
1962-05-11,,,,,,,,,,,,,,,,
1962-05-21,,,,,,,,,,,,,,,,
1962-06-01,,,,,,,,,,,,,,,,
1962-06-11,,,,,,,,,,,,,,,,
1962-06-21,,,,,,,,,,,,,,,,
1962-07-01,,,,,,,,,,,,,,,,
1962-07-11,,,,,,,,,,,,,,,,
1962-07-21,,,,,,,,,,,,,,,,
1962-08-01,,,,,,,,,,,,,,,,
